segment,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
level_source,pmh,39,0.20512820512820512,-5.82051282051282,-0.22253352618023564,0.7099968061322262,-227.0,0.3333333333333333,0.2564102564102564,0.20512820512820512,0.1282051282051282,0.7948717948717948,36.09615384615385,19.75,29.294871794871796,30.25,74.7529821868726,73.3032571039391,14.41025641025641
level_source,pml,70,0.2714285714285714,-3.0964285714285715,-0.12394227994227985,0.8316504854368932,-216.75,0.38571428571428573,0.2714285714285714,0.18571428571428572,0.07142857142857142,0.7285714285714285,33.09285714285714,18.0,27.992857142857144,27.5,75.60207339694712,73.5912185769497,17.87142857142857
level_group,Asia high/low,12,0.4166666666666667,8.083333333333334,0.30984126984126986,1.5615050651230102,97.0,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5833333333333334,43.395833333333336,39.125,21.854166666666668,26.5,77.19687817185813,74.93347373803823,27.833333333333332
level_group,London high/low,32,0.1875,-5.8984375,-0.2432100449293966,0.7019344650611923,-188.75,0.5,0.40625,0.1875,0.09375,0.78125,41.2734375,27.625,27.578125,26.25,75.96418854181451,74.2031684171445,16.78125
level_group,PDH/PDL,13,0.15384615384615385,-9.846153846153847,-0.3938461538461538,0.5391539153915391,-128.0,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.8461538461538461,54.55769230769231,32.75,63.75,29.75,77.17900319563208,74.4,11.692307692307692
level_group,PMH/PML,109,0.24770642201834864,-4.071100917431193,-0.15921804694485125,0.7856539065330274,-443.75,0.3669724770642202,0.26605504587155965,0.1926605504587156,0.09174311926605505,0.7522935779816514,34.16743119266055,19.0,28.458715596330276,28.75,75.29827011994799,73.39259259259259,16.63302752293578
level_group,external swing,314,0.2802547770700637,2.338375796178344,0.09519487538824603,1.1333787465940055,734.25,0.47770700636942676,0.321656050955414,0.21656050955414013,0.14012738853503184,0.6910828025477707,38.5843949044586,22.25,26.851114649681527,27.0,76.4333879923641,75.72169531714677,19.340764331210192
level_group,internal swing,572,0.2867132867132867,2.894667832167832,0.11522307342491803,1.164411786609736,1655.75,0.4807692307692308,0.3374125874125874,0.22202797202797203,0.1520979020979021,0.6958041958041958,39.9493006993007,24.0,26.035402097902097,27.25,75.89107933996513,74.0,18.802447552447553
level_group,overnight high/low,44,0.2727272727272727,2.6363636363636362,0.10476569821930655,1.1475357710651828,116.0,0.4772727272727273,0.3181818181818182,0.25,0.18181818181818182,0.7045454545454546,38.70454545454545,18.0,26.84090909090909,26.875,77.02829960148011,76.0,20.363636363636363
setup_family,continuation,63,0.36507936507936506,12.162698412698413,0.48316687634765443,1.7775240994419077,766.25,0.6031746031746031,0.3492063492063492,0.2857142857142857,0.23809523809523808,0.6031746031746031,46.90079365079365,34.0,23.055555555555557,26.0,73.55774050317164,71.72248462694844,19.349206349206348
setup_family,reversal,1033,0.27202323330106487,1.0418683446272992,0.04204218109010203,1.0580799222902781,1076.25,0.46079380445304935,0.324298160696999,0.21200387221684414,0.1355275895450145,0.7095837366892546,38.712245885769605,22.0,27.22894482090997,27.5,76.21775779171888,74.58351682193376,18.723136495643757
