segment,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes,year,setup_family,direction,timeframe
family_htf_context,conflicting,43,0.32558139534883723,7.813953488372093,0.31067824199674454,1.4668287599861063,336.0,0.5813953488372093,0.3953488372093023,0.27906976744186046,0.20930232558139536,0.6511627906976745,46.372093023255815,29.75,25.441860465116278,27.0,72.37277032558887,71.41642134081458,17.627906976744185,,continuation,,
family_htf_context,neutral,0,,,,,,,,,,,,,,,,,,,continuation,,
family_htf_context,unknown,0,,,,,,,,,,,,,,,,,,,continuation,,
family_htf_context,aligned,661,0.27382753403933435,1.1066565809379727,0.04464573531431391,1.0617847037459351,731.5,0.47806354009077157,0.32829046898638425,0.2042360060514372,0.13767019667170954,0.708018154311649,39.13313161875946,23.5,27.149773071104388,27.5,76.2598555461675,74.37637286408993,18.71860816944024,,reversal,,
family_htf_context,conflicting,372,0.26881720430107525,0.926747311827957,0.03741597318095133,1.051524435809296,344.75,0.43010752688172044,0.3172043010752688,0.22580645161290322,0.13172043010752688,0.7123655913978495,37.964381720430104,19.5,27.36962365591398,27.25,76.14295506136799,74.76015018362904,18.731182795698924,,reversal,,
family_htf_context,neutral,0,,,,,,,,,,,,,,,,,,,reversal,,
family_htf_context,unknown,0,,,,,,,,,,,,,,,,,,,reversal,,
direction_htf_context,aligned,424,0.30424528301886794,3.25,0.12975377594996537,1.1899183406263998,1378.0,0.49056603773584906,0.3443396226415094,0.21462264150943397,0.14386792452830188,0.6768867924528302,40.53242924528302,25.5,27.20931603773585,27.125,75.96492058527141,74.0,20.54245283018868,,,long,
direction_htf_context,conflicting,229,0.28820960698689957,2.3558951965065504,0.09552648259635765,1.1336388407233093,539.5,0.44541484716157204,0.33624454148471616,0.24017467248908297,0.12663755458515283,0.6943231441048034,38.48471615720524,19.75,27.473799126637555,27.5,76.38795668611664,75.14843182593424,19.694323144104803,,,long,
direction_htf_context,neutral,0,,,,,,,,,,,,,,,,,,,,long,
direction_htf_context,unknown,0,,,,,,,,,,,,,,,,,,,,long,
direction_htf_context,aligned,379,0.25065963060686014,0.300131926121372,0.011826855281072485,1.0161022047634214,113.75,0.47757255936675463,0.3113456464379947,0.20844327176781002,0.15567282321899736,0.7361477572559367,38.97361477572559,22.5,26.798153034300793,27.75,75.55651728087952,73.80097962201377,15.88126649076517,,,short,
