trade_id,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,direction,signal_close,entry_price_raw,entry_price,stop_price,tp1,tp2,tp3,tp4,raw_score,score_band,score_edge,stop_distance_points,tp1_hit,tp2_hit,tp3_hit,tp4_hit,stop_hit,exit_reason,exit_price_raw,exit_price,gross_result_points,commission_cost,net_result_points,net_result_r,mfe_points,mae_points,mfe_r,mae_r,bars_held,minutes_held,maximum_target_reached,session_date,snr_1m,snr_5m,snr_15m,snr_alignment,rvol_rolling,rvol_time_of_day,htf_bias,dol_direction,liquidity_sweep,displacement,structure_shift,fvg_context,setup_family,feature_matched,directional_close_break,directional_wick_break,break_confirmation,broken_timeframe,break_displacement_category,break_displacement_score,break_rvol,broken_level,break_timestamp,minutes_since_break,retest_present,retest_hold,pre_entry_follow_through_points,completed_5m_close_beyond,year
46,54566,54567,54626,2023-11-24 15:26:00+00:00,2023-11-24 15:27:00+00:00,2023-11-24 16:26:00+00:00,short,15995.25,15995.0,15994.75,16016.75,15969.75,15944.75,15919.75,15894.75,70.99096345925712,70-79,-70.99096345925712,22.0,False,False,False,False,False,max_holding_time,16009.0,16009.25,-14.5,0.0,-14.5,-0.6590909090909091,13.0,18.0,0.5909090909090909,0.8181818181818182,60,59.0,0,2023-11-24,2.0622406639004147,1.3241505968778695,2.49601593625498,strong_bearish,1.3852907117658146,0.8258412535319805,bearish,bearish,False,True,True,False,continuation,True,True,True,body_close,1m,weak,58.25802882714266,0.8258412535319805,15995.75,2023-11-24 15:26:00+00:00,0.0,False,False,1.75,False,2024
53,63975,63976,64002,2023-12-05 15:00:00+00:00,2023-12-05 15:01:00+00:00,2023-12-05 15:27:00+00:00,long,15894.5,15894.75,15895.0,15870.0,15920.0,15945.0,15970.0,15995.0,80.4,80-89,44.400000000000006,25.0,True,False,False,False,True,stop,15870.0,15869.75,-25.25,0.0,-25.25,-1.01,41.75,26.0,1.67,1.04,27,26.0,1,2023-12-05,2.2222222222222223,2.890688259109312,1.696969696969697,strong_bullish,2.720379271055699,1.8731063338623573,bullish,bullish,False,True,True,False,continuation,True,True,True,displacement,1m,strong,86.66666666666666,1.8731063338623575,15864.0,2023-12-05 15:00:00+00:00,0.0,False,False,33.25,True,2024
54,64003,64004,64063,2023-12-05 15:28:00+00:00,2023-12-05 15:29:00+00:00,2023-12-05 16:28:00+00:00,long,15877.25,15877.25,15877.5,15852.5,15902.5,15927.5,15952.5,15977.5,73.51505347917943,70-79,55.51505347917943,25.0,True,True,True,False,False,max_holding_time,15886.5,15886.25,8.75,0.0,8.75,0.35,84.25,19.75,3.37,0.79,60,59.0,3,2023-12-05,2.7454545454545456,1.998843930635838,3.3391506689936006,partial_bullish,0.8733245118736174,1.4983623035197475,bullish,bullish,False,True,True,False,continuation,True,False,False,,,,,,,,,False,False,,False,2024
77,98481,98482,98493,2024-01-11 15:06:00+00:00,2024-01-11 15:07:00+00:00,2024-01-11 15:18:00+00:00,short,16841.0,16841.25,16841.0,16866.0,16816.0,16791.0,16766.0,16741.0,72.0,70-79,-44.0,25.0,False,False,False,False,True,stop,16866.0,16866.25,-25.25,0.0,-25.25,-1.01,16.5,29.5,0.66,1.18,12,11.0,0,2024-01-11,5.088630259623993,3.887133182844244,0.5773835920177384,partial_bearish,2.0143938269772965,3.22690873434459,bearish,neutral,False,True,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2024
92,116132,116133,116138,2024-01-30 15:01:00+00:00,2024-01-30 15:02:00+00:00,2024-01-30 15:07:00+00:00,short,17622.5,17623.0,17622.75,17647.75,17597.75,17572.75,17547.75,17522.75,71.6,70-79,-53.6,25.0,False,False,False,False,True,stop,17647.75,17648.0,-25.25,0.0,-25.25,-1.01,3.25,29.5,0.13,1.18,6,5.0,0,2024-01-30,4.386986301369863,0.0769230769230769,0.7818756585879872,partial_bullish,4.636931878376947,2.3069787054606787,bearish,bearish,False,True,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2024
101,123031,123032,123091,2024-02-06 15:00:00+00:00,2024-02-06 15:01:00+00:00,2024-02-06 16:00:00+00:00,short,17647.25,17647.0,17646.75,17671.75,17621.75,17596.75,17571.75,17546.75,77.75580865603645,70-79,-41.75580865603645,25.0,True,False,False,False,False,max_holding_time,17638.25,17638.5,8.25,0.0,8.25,0.33,48.75,12.25,1.95,0.49,60,59.0,1,2024-02-06,1.8337129840546695,3.4570727718724448,2.8233782915863843,strong_bearish,1.8618020376800049,1.648440256009676,bearish,bearish,False,True,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2024
109,132694,132695,132697,2024-02-15 15:03:00+00:00,2024-02-15 15:04:00+00:00,2024-02-15 15:06:00+00:00,short,17800.25,17800.5,17800.25,17825.25,17775.25,17750.25,17725.25,17700.25,80.69280397022332,80-89,-66.69280397022332,25.0,False,False,False,False,True,stop,17825.25,17825.5,-25.25,0.0,-25.25,-1.01,3.0,26.0,0.12,1.04,3,2.0,0,2024-02-15,0.9205955334987592,2.6343467543138868,3.875432525951557,strong_bearish,1.6180125217317105,1.7019128288551075,bearish,bearish,False,True,True,False,continuation,True,True,True,displacement,1m,strong,89.10669975186104,1.7019128288551075,17810.5,2024-02-15 15:03:00+00:00,0.0,False,False,12.25,False,2024
110,132699,132700,132704,2024-02-15 15:08:00+00:00,2024-02-15 15:09:00+00:00,2024-02-15 15:13:00+00:00,short,17827.75,17827.75,17827.5,17852.5,17802.5,17777.5,17752.5,17727.5,72.41854353759955,70-79,-38.41854353759955,25.0,False,False,False,False,True,stop,17852.5,17852.75,-25.25,0.0,-25.25,-1.01,0.5,29.75,0.02,1.19,5,4.0,0,2024-02-15,2.078272604588394,2.315384615384615,3.875432525951557,partial_bearish,0.7848149805074455,1.0255410954137378,bearish,bearish,False,True,True,False,continuation,True,False,False,,,,,,,,,False,False,,False,2024
111,134061,134062,134071,2024-02-16 14:50:00+00:00,2024-02-16 14:51:00+00:00,2024-02-16 15:00:00+00:00,short,17843.0,17843.0,17842.75,17867.75,17817.75,17792.75,17767.75,17742.75,72.0,70-79,-24.0,25.0,True,True,True,True,False,tp4,17742.75,17743.0,99.75,0.0,99.75,3.99,129.0,5.25,5.16,0.21,10,9.0,4,2024-02-16,2.8464088397790057,2.6774716369529985,4.565671641791045,strong_bearish,1.934676424064385,2.4169643535760432,neutral,bearish,False,True,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2024
112,134072,134073,134074,2024-02-16 15:01:00+00:00,2024-02-16 15:02:00+00:00,2024-02-16 15:03:00+00:00,short,17729.25,17729.75,17729.5,17754.5,17704.5,17679.5,17654.5,17629.5,80.07917594654788,80-89,-52.07917594654788,25.0,False,False,False,False,True,stop,17754.5,17754.75,-25.25,0.0,-25.25,-1.01,2.25,25.25,0.09,1.01,2,1.0,0,2024-02-16,2.057906458797328,4.832803560076287,4.481798715203427,strong_bearish,1.0978230138535483,1.6463679630277397,bearish,bearish,False,True,True,False,continuation,True,True,True,,,,,,,,,False,False,,False,2024
