component,dimension,value,with_trades,without_trades,with_expectancy,without_expectancy,expectancy_lift,with_pf,without_pf,pf_lift
displacement,family,continuation,156,29,8.291666666666666,-6.801724137931035,15.0933908045977,1.4986026790016382,0.6745049504950495,0.8240977285065887
structure_shift,overall,all,838,380,3.1954057279236276,-1.3296052631578947,4.525010991081523,1.1799079548508467,0.926205864096104,0.2537020907547427
structure_shift,year,2023,228,116,1.8760964912280702,4.959051724137931,-3.0829552329098604,1.1083665843308632,1.3217731785764228,-0.21340659424555963
structure_shift,year,2024,267,121,0.8192883895131086,-1.2603305785123966,2.079618968025505,1.0458859929728879,0.9302777460281175,0.11560824694477034
structure_shift,year,2025,343,143,5.92201166180758,-6.489510489510489,12.411522151318069,1.3292406191749737,0.6768520936711064,0.6523885255038673
structure_shift,direction,long,437,216,4.658466819221968,-0.5474537037037037,5.2059205229256715,1.269814446653413,0.9684477353078513,0.3013667113455616
structure_shift,direction,short,401,164,1.600997506234414,-2.3597560975609757,3.9607536037953897,1.0874778580188036,0.8751210067763795,0.2123568512424241
structure_shift,family,reversal,658,375,2.401595744680851,-1.344,3.745595744680851,1.1340927894100425,0.9252862913686395,0.20880649804140305
structure_shift,family,continuation,180,5,6.097222222222222,-0.25,6.347222222222222,1.3541179317576832,0.9876237623762376,0.36649416938144563
fvg_or_retest,overall,all,1128,90,2.1318705673758864,-2.5805555555555557,4.712426122931442,1.1199107432247126,0.8614466815809098,0.25846406164380287
fvg_or_retest,year,2023,324,20,4.107253086419753,-16.3875,20.494753086419752,1.2505412783582792,0.22609208972845338,1.024449188629826
fvg_or_retest,year,2024,359,29,0.4505571030640669,-3.293103448275862,3.743660551339929,1.0252586375170798,0.8266000907852927,0.19865854673178707
fvg_or_retest,year,2025,445,41,2.05,4.658536585365853,-2.6085365853658535,1.1093923314446743,1.272079772079772,-0.16268744063509777
fvg_or_retest,direction,long,607,46,3.013179571663921,1.923913043478261,1.0892665281856602,1.17433991039939,1.1103835360149672,0.0639563743844227
fvg_or_retest,direction,short,521,44,1.1050863723608446,-7.2897727272727275,8.394859099633573,1.06020285460344,0.633218982275586,0.42698387232785406
fvg_or_retest,family,reversal,949,84,1.2223393045310853,-0.9970238095238095,2.219363114054895,1.0682242578406433,0.9451808214694812,0.12304343637116211
fvg_or_retest,family,continuation,179,6,6.95391061452514,-24.75,31.70391061452514,1.4078807241746538,0.0,1.4078807241746538
draw_on_liquidity,overall,all,1189,29,1.8282169890664424,-0.04310344827586207,1.8713204373423045,1.1027741333049657,0.9978448275862069,0.1049293057187588
draw_on_liquidity,year,2023,335,9,2.5507462686567166,16.5,-13.949253731343283,1.1530196534897255,1.9850746268656716,-0.8320549733759461
draw_on_liquidity,year,2024,378,10,0.8432539682539683,-25.25,26.09325396825397,1.047560429722471,0.0,1.047560429722471
draw_on_liquidity,year,2025,476,10,2.101890756302521,10.275,-8.173109243697478,1.1128659258841447,1.5813295615275813,-0.4684636356434366
draw_on_liquidity,direction,long,631,22,3.158082408874802,-3.4204545454545454,6.578536954329348,1.1838627084630822,0.8344334433443344,0.3494292651187477
draw_on_liquidity,direction,short,558,7,0.32437275985663083,10.571428571428571,-10.24705581157194,1.017551515151515,1.5896414342629481,-0.572089919111433
draw_on_liquidity,family,reversal,1009,24,0.9427651139742319,5.208333333333333,-4.265568219359102,1.0526228442612748,1.2754820936639117,-0.2228592494026369
draw_on_liquidity,family,continuation,180,5,6.791666666666667,-25.25,32.041666666666664,1.397690305790501,0.0,1.397690305790501
premium_discount,overall,all,771,447,0.4361219195849546,4.107941834451902,-3.671819914866947,1.0239737625438925,1.2383192731992212,-0.2143455106553287
premium_discount,year,2023,218,126,2.7958715596330275,3.123015873015873,-0.32714431338284555,1.1690238491403218,1.1848285580084548,-0.01580470886813301
premium_discount,year,2024,241,147,-2.016597510373444,3.756802721088435,-5.7734002314618795,0.8924005092156971,1.2265408676033227,-0.33414035838762557
premium_discount,year,2025,312,174,0.6818910256410257,5.117816091954023,-4.435925066312998,1.036040996103676,1.2837568708675218,-0.2477158747638457
premium_discount,direction,long,441,212,1.459750566893424,6.008254716981132,-4.548504150087708,1.0816009633667132,1.3742196107234668,-0.2926186473567536
