segment,year,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
htf_alignment_exp004,2024,neutral/unknown,33,0.21212121212121213,-3.7196969696969697,-0.1536940836940837,0.8043824701195219,-122.75,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.12121212121212122,0.7575757575757576,36.916666666666664,21.25,27.007575757575758,27.25,74.44546582942671,73.58044502904747,19.151515151515152
htf_alignment_exp004,2025,neutral/unknown,29,0.13793103448275862,-7.474137931034483,-0.30594827586206896,0.6479902557856273,-216.75,0.41379310344827586,0.3103448275862069,0.2413793103448276,0.13793103448275862,0.8275862068965517,43.1551724137931,30.5,30.948275862068964,26.75,74.0131165333315,73.58785292853206,11.655172413793103
liquidity_sweep,2023,False,46,0.32608695652173914,3.760869565217391,0.14581978359393447,1.222508038585209,173.0,0.4782608695652174,0.30434782608695654,0.1956521739130435,0.15217391304347827,0.6739130434782609,39.17391304347826,23.0,24.35326086956522,26.75,72.90025524685676,71.73182261669449,24.73913043478261
liquidity_sweep,2024,False,60,0.36666666666666664,9.879166666666666,0.3909836523125998,1.627580730545262,592.75,0.5,0.35,0.3,0.23333333333333334,0.6166666666666667,43.18333333333333,22.375,24.604166666666668,25.625,73.59163953065321,71.85233676782215,18.166666666666668
liquidity_sweep,2025,False,79,0.25316455696202533,4.1835443037974684,0.1668301687763714,1.223575173346863,330.5,0.5822784810126582,0.3670886075949367,0.25316455696202533,0.21518987341772153,0.7341772151898734,46.71835443037975,35.75,28.414556962025316,30.25,73.16963129616988,71.75193253480862,11.215189873417721
liquidity_sweep,2023,True,298,0.3221476510067114,2.785234899328859,0.11282600778132931,1.167423096318709,830.0,0.5201342281879194,0.3523489932885906,0.21476510067114093,0.11409395973154363,0.6577181208053692,39.81375838926174,28.25,24.482382550335572,26.5,76.13166289562929,74.57530971506215,23.553691275167786
liquidity_sweep,2024,True,328,0.25609756097560976,-1.6051829268292683,-0.0627285107257421,0.9123960066555741,-526.5,0.4329268292682927,0.3018292682926829,0.19207317073170732,0.10670731707317073,0.7225609756097561,35.80487804878049,20.5,25.960365853658537,27.125,76.22860475088137,74.54179357279497,20.713414634146343
liquidity_sweep,2025,True,407,0.24815724815724816,1.8986486486486487,0.07464956821936768,1.102175062805765,772.75,0.4398034398034398,0.32186732186732187,0.22604422604422605,0.17444717444717445,0.7371007371007371,40.2487714987715,21.25,30.262285012285012,28.75,76.27205380260195,74.60436599443038,13.582309582309582
displacement,2023,False,90,0.32222222222222224,-0.3416666666666667,-0.008274484513008511,0.9793831713040563,-30.75,0.4666666666666667,0.35555555555555557,0.2222222222222222,0.06666666666666667,0.6555555555555556,37.28611111111111,21.75,24.375,26.75,74.53915230189828,73.42827332142028,24.18888888888889
displacement,2024,False,98,0.21428571428571427,-6.459183673469388,-0.2573206633732268,0.6702266215160197,-633.0,0.40816326530612246,0.2653061224489796,0.1836734693877551,0.08163265306122448,0.7755102040816326,32.36734693877551,18.625,26.642857142857142,27.875,74.96627538431392,73.29719000121891,19.846938775510203
displacement,2025,False,140,0.22857142857142856,-0.9732142857142857,-0.04084634704127067,0.9485412142385043,-136.25,0.39285714285714285,0.2857142857142857,0.20714285714285716,0.15,0.75,36.09464285714286,18.125,28.583928571428572,27.875,74.26237060287983,72.89378076797155,13.885714285714286
displacement,2023,True,254,0.3228346456692913,4.06988188976378,0.1617108817729445,1.2436078708613174,1033.75,0.531496062992126,0.3425196850393701,0.20866141732283464,0.1377952755905512,0.6614173228346457,40.593503937007874,29.0,24.49704724409449,26.5,76.11072274441769,74.0,23.543307086614174
displacement,2024,True,290,0.29310344827586204,2.411206896551724,0.09690169872858206,1.1388778550148957,699.25,0.45517241379310347,0.32413793103448274,0.21724137931034482,0.1413793103448276,0.6827586206896552,38.49310344827586,21.125,25.449137931034482,26.75,76.10960600850179,74.0,20.479310344827585
displacement,2025,True,346,0.25722543352601157,3.582369942196532,0.14242903521501124,1.1938687729725503,1239.5,0.4913294797687861,0.3468208092485549,0.2398843930635838,0.1936416184971098,0.7312138728323699,43.40679190751445,27.375,30.51950867052023,29.5,76.37686383136774,74.25872263158246,12.919075144508671
structure_shift,2023,False,116,0.3706896551724138,4.959051724137931,0.19857976314872874,1.3217731785764228,575.25,0.5775862068965517,0.3793103448275862,0.20689655172413793,0.11206896551724138,0.603448275862069,41.95905172413793,32.5,23.592672413793103,26.25,73.28576706855213,72.38679031167615,26.129310344827587
structure_shift,2024,False,121,0.256198347107438,-1.2603305785123966,-0.04797064638632225,0.9302777460281175,-152.5,0.4628099173553719,0.2809917355371901,0.19834710743801653,0.12396694214876033,0.7107438016528925,37.89049586776859,23.0,26.233471074380166,27.25,72.88504360917493,72.01255230125523,20.66115702479339
structure_shift,2025,False,143,0.17482517482517482,-6.489510489510489,-0.26340014416494434,0.6768520936711064,-928.0,0.3916083916083916,0.25874125874125875,0.16783216783216784,0.1048951048951049,0.7972027972027972,35.01398601398601,19.5,33.67132867132867,29.75,73.48511020502431,72.77142857142857,14.202797202797203
structure_shift,2023,True,228,0.2982456140350877,1.8760964912280702,0.07585354315309031,1.1083665843308632,427.75,0.4824561403508772,0.32894736842105265,0.2149122807017544,0.12280701754385964,0.6885964912280702,38.593201754385966,22.25,24.908991228070175,26.75,76.92762414167058,75.81127130691397,22.482456140350877
