component_a,component_b,phi,jaccard,a_active,b_active,both_active,a_when_b,b_when_a,neither_expectancy,a_only_expectancy,b_only_expectancy,both_expectancy,a_added_to_b_expectancy,b_added_to_a_expectancy,a_added_to_b_pf,b_added_to_a_pf,abs_phi
liquidity_sweep,penalty_snr_conflict,0.12656534335939024,0.0968054211035818,1033,100,100,1.0,0.0968054211035818,5.925675675675675,1.812700964630225,,-6.15,,-7.962700964630225,,-0.4234623640652241,0.12656534335939024
displacement,structure_shift,-0.10804417217586575,0.5126859142607174,891,838,586,0.6992840095465394,0.6576879910213244,-0.07,-1.639344262295082,-1.1468253968253967,5.062713310580205,6.209538707405601,6.702057572875287,0.3536989762323709,0.38356897982837734,0.10804417217586575
liquidity_sweep,displacement,-0.10668078985348226,0.6181665264928511,1033,891,735,0.8249158249158249,0.7115198451113263,-6.801724137931035,-0.32550335570469796,8.291666666666666,1.5962585034013606,-6.695408163265306,1.9217618591060586,-0.4087001867122184,0.10760241473821319,0.10668078985348226
fvg_or_retest,premium_discount,-0.0978670962603914,0.5825,1128,771,699,0.9066147859922179,0.6196808510638298,-18.819444444444443,5.06993006993007,1.4791666666666667,0.32868383404864093,-1.1504828326180259,-4.741246235881429,-0.063548153403989,-0.27851301629383274,0.0978670962603914
structure_shift,fvg_or_retest,-0.09537265278336969,0.632890365448505,838,1128,762,0.675531914893617,0.9093078758949881,-14.107142857142858,-0.45723684210526316,-0.8408469945355191,3.559711286089239,4.400558280624758,4.016948128194502,0.24779566506355333,0.2260709902103799,0.09537265278336969
higher_timeframe_bias,liquidity_sweep,-0.07564849650515172,0.7755775577557755,1119,1033,940,0.9099709583736689,0.8400357462019661,-2.6666666666666665,6.2136871508379885,-2.4408602150537635,1.3864361702127659,3.8272963852665294,-4.827250980625223,0.20703242866814742,-0.2829055897023558,0.07564849650515172
displacement,penalty_snr_conflict,-0.07526516928511447,0.06673842841765339,891,100,62,0.62,0.06958473625140292,-0.3685121107266436,3.4909529553679133,-4.940789473684211,-6.891129032258065,-1.9503395585738543,-10.382081987625979,-0.10467737905109575,-0.5617864617100613,0.07526516928511447
structure_shift,room_to_target,-0.07519389902403767,0.6756978653530378,838,1203,823,0.684123025768911,0.9821002386634845,,18.183333333333334,-1.3296052631578947,2.922235722964763,4.251840986122658,-15.261097610368571,0.23788235464270246,-1.036131803263394,0.07519389902403767
structure_shift,penalty_major_obstacle,0.07519389902403753,0.017899761336515514,838,15,15,1.0,0.017899761336515514,-1.3296052631578947,2.922235722964763,,18.183333333333334,,15.261097610368571,,1.036131803263394,0.07519389902403753
higher_timeframe_bias,fvg_or_retest,-0.07253219666945243,0.8463434675431388,1119,1128,1030,0.9131205673758865,0.9204647006255585,-20.25,-2.3820224719101124,-2.2729591836734695,2.5509708737864076,4.823930057459878,4.93299334569652,0.26470928177701547,0.2723557332518095,0.07253219666945243
displacement,penalty_major_obstacle,0.06764689078560607,0.016835016835016835,891,15,15,1.0,0.016835016835016835,-0.8998470948012233,2.5045662100456623,,18.183333333333334,,15.67876712328767,,1.0579118931205904,0.06764689078560607
displacement,room_to_target,-0.0676468907856057,0.7192118226600985,891,1203,876,0.7281795511221946,0.9831649831649831,,18.183333333333334,-0.8998470948012233,2.5045662100456623,3.4044133048468854,-15.67876712328767,0.1906548119787551,-1.0579118931205904,0.0676468907856057
liquidity_sweep,fvg_or_retest,-0.06706995785586949,0.783003300330033,1033,1128,949,0.8413120567375887,0.9186834462729913,-24.75,-0.9970238095238095,6.95391061452514,1.2223393045310853,-5.731571309994054,2.219363114054895,-0.3396564663340105,0.12304343637116211,0.06706995785586949
relative_volume,penalty_major_obstacle,0.0627045056408043,0.016198704103671708,926,15,15,1.0,0.016198704103671708,1.6378424657534247,1.5603732162458837,,18.183333333333334,,16.62296011708745,,1.1138906159533724,0.0627045056408043
relative_volume,room_to_target,-0.06270450564080428,0.7479474548440066,926,1203,911,0.7572734829592684,0.9838012958963283,,18.183333333333334,1.6378424657534247,1.5603732162458837,-0.07746924950754108,-16.62296011708745,-0.008608559211717992,-1.1138906159533724,0.06270450564080428
draw_on_liquidity,relative_volume,-0.06247042888104835,0.7393092105263158,1189,926,899,0.9708423326133909,0.7560975609756098,-25.25,1.8232758620689655,1.8240740740740742,1.8298109010011123,0.005736826927038141,0.006535038932146797,0.008758662324012345,-0.0042547286776721815,0.06247042888104835
higher_timeframe_bias,premium_discount,0.0602625249982949,0.6126279863481229,1119,771,718,0.9312581063553826,0.6416443252904379,-0.08695652173913043,4.589152119700748,-4.509433962264151,0.8011838440111421,5.3106178062752925,-3.7879682756896065,0.28187386952071203,-0.2248710521243742,0.0602625249982949
displacement,fvg_or_retest,0.05550510098506752,0.7023608768971332,891,1128,833,0.7384751773049646,0.9349046015712682,-4.125,-1.728448275862069,-0.55,3.0816326530612246,3.6316326530612244,4.810080928923293,0.20577233562421104,0.26942714084623487,0.05550510098506752
liquidity_sweep,relative_volume,-0.055464264224658395,0.6545608108108109,1033,926,775,0.8369330453563715,0.750242013552759,10.139705882352942,0.5174418604651163,4.97682119205298,1.216451612903226,-3.760369579149754,0.6990097524381096,-0.21245239409146066,0.03779308730261177,0.055464264224658395
fvg_or_retest,signal_to_noise,-0.055281475535053984,0.2929553264604811,1128,377,341,0.9045092838196287,0.30230496453900707,-0.14351851851851852,2.337357052096569,-6.236111111111111,1.6576246334310851,7.893735744542196,-0.6797324186654841,0.40184159361435834,-0.040458093402726325,0.055281475535053984
fvg_or_retest,penalty_snr_conflict,0.050180183844653156,0.08576480990274093,1128,100,97,0.97,0.08599290780141844,-1.7988505747126438,2.8554801163918526,-25.25,-5.559278350515464,19.690721649484537,-8.414758466907315,0.7062908496732027,-0.4553031344638009,0.050180183844653156
liquidity_sweep,room_to_target,-0.04725508180217252,0.8357963875205254,1033,1203,1018,0.8462177888611804,0.9854791868344628,,18.183333333333334,5.925675675675675,0.7892927308447937,-5.136382944830881,-17.39404060248854,-0.29865205567471764,-1.1563207145021661,0.04725508180217252
liquidity_sweep,penalty_major_obstacle,0.04725508180217242,0.01452081316553727,1033,15,15,1.0,0.01452081316553727,5.925675675675675,0.7892927308447937,,18.183333333333334,,17.39404060248854,,1.1563207145021661,0.04725508180217242
displacement,draw_on_liquidity,-0.04600366874643989,0.71334431630972,891,1189,866,0.7283431455004206,0.9719416386083053,-25.25,3.99,-0.598297213622291,2.733256351039261,3.331553564661552,-1.256743648960739,0.18836564734172112,-0.05216840649400001,0.04600366874643989
higher_timeframe_bias,penalty_snr_conflict,0.0451795318733608,0.0854853072128228,1119,100,96,0.96,0.08579088471849866,-1.4947368421052631,2.8636363636363638,-25.25,-5.354166666666667,19.895833333333332,-8.217803030303031,0.7161397211100373,-0.4461661918780371,0.0451795318733608
higher_timeframe_bias,relative_volume,-0.04035289255731614,0.7041666666666667,1119,926,845,0.9125269978401728,0.7551385165326184,-9.23611111111111,2.352189781021898,-0.9475308641975309,2.0958579881656805,3.0433888523632113,-0.25633179285621743,0.16605429582657905,-0.01905962873417999,0.04035289255731614
draw_on_liquidity,premium_discount,0.03750992827441762,0.627906976744186,1189,771,756,0.980544747081712,0.6358284272497897,10.517857142857142,3.9006928406466512,-9.9,0.6412037037037037,10.541203703703705,-3.2594891369429475,0.4877887557101984,-0.19122288192371606,0.03750992827441762
room_to_target,penalty_snr_conflict,0.03339580481266141,0.0831255195344971,1203,100,100,1.0,0.0831255195344971,18.183333333333334,2.279918404351768,,-6.15,,-8.429918404351769,,-0.4500523817673453,0.03339580481266141
penalty_major_obstacle,penalty_snr_conflict,-0.033395804812661384,0.0,15,100,0,0.0,0.0,2.279918404351768,18.183333333333334,-6.15,,,,,,0.033395804812661384
higher_timeframe_bias,penalty_major_obstacle,0.03321355555556788,0.013404825737265416,1119,15,15,1.0,0.013404825737265416,-2.4545454545454546,1.9408967391304348,,18.183333333333334,,16.2424365942029,,1.0910784091359438,0.03321355555556788
higher_timeframe_bias,room_to_target,-0.03321355555556765,0.9064039408866995,1119,1203,1104,0.9177057356608479,0.9865951742627346,,18.183333333333334,-2.4545454545454546,1.9408967391304348,4.39544219367589,-16.2424365942029,0.23903604023495895,-1.0910784091359438,0.03321355555556765
fvg_or_retest,penalty_major_obstacle,0.03154129503208699,0.013297872340425532,1128,15,15,1.0,0.013297872340425532,-2.5805555555555557,1.9155435759209345,,18.183333333333334,,16.267789757412398,,1.0926912421663684,0.03154129503208699
fvg_or_retest,room_to_target,-0.031541295032086886,0.9137931034482759,1128,1203,1113,0.9251870324189526,0.9867021276595744,,18.183333333333334,-2.5805555555555557,1.9155435759209345,4.49609913147649,-16.267789757412398,0.24608209825492222,-1.0926912421663684,0.031541295032086886
premium_discount,signal_to_noise,0.03079324736774158,0.2741398446170921,771,377,247,0.6551724137931034,0.3203631647211414,3.9077287066246056,1.131679389312977,4.596153846153846,-1.0394736842105263,-5.635627530364372,-2.171153073523503,-0.32096258150149626,-0.11858565513887664,0.03079324736774158
premium_discount,penalty_snr_conflict,0.029160688434261,0.08468244084682441,771,100,68,0.68,0.08819714656290532,5.451807228915663,0.7467994310099573,-13.3203125,-2.775735294117647,10.544577205882353,-3.5225347251276045,0.5332085724174646,-0.18809352493542464,0.029160688434261
draw_on_liquidity,penalty_snr_conflict,0.027090384145095396,0.08319327731092437,1189,100,99,0.99,0.0832632464255677,0.8571428571428571,2.535321100917431,-25.25,-5.957070707070707,19.292929292929294,-8.492391807988138,0.6873840445269017,-0.4560682051064866,0.027090384145095396
structure_shift,draw_on_liquidity,-0.023800863589262103,0.6738232865400495,838,1189,816,0.6862910008410429,0.9737470167064439,-10.214285714285714,3.1931818181818183,-1.1628686327077749,3.1954656862745097,4.358334318982284,0.0022838680926913213,0.24516590524373505,0.016437179131852275,0.023800863589262103
fvg_or_retest,relative_volume,-0.018940010509161217,0.713094245204337,1128,926,855,0.9233261339092873,0.7579787234042553,-1.855263157894737,1.880952380952381,-2.7746478873239435,2.211988304093567,4.98663619141751,0.33103592314118613,0.2718456911181433,0.013454876014305395,0.018940010509161217
draw_on_liquidity,penalty_major_obstacle,0.017438972286075344,0.012615643397813289,1189,15,15,1.0,0.012615643397813289,-0.04310344827586207,1.6192504258943783,,18.183333333333334,,16.564082907438955,,1.1093652414922475,0.017438972286075344
draw_on_liquidity,room_to_target,-0.017438972286075338,0.9638752052545156,1189,1203,1174,0.9758935993349959,0.9873843566021867,,18.183333333333334,-0.04310344827586207,1.6192504258943783,1.6623538741702404,-16.564082907438955,0.09300995292374603,-1.1093652414922475,0.017438972286075338
displacement,relative_volume,0.011308298790661704,0.5980650835532102,891,926,680,0.734341252699784,0.7631874298540965,6.092592592592593,-0.07227488151658767,-3.2022357723577235,3.65,6.852235772357723,3.7222748815165874,0.37347964276129486,0.21210348759061692,0.011308298790661704
liquidity_sweep,draw_on_liquidity,0.008931246076530792,0.8318219291014015,1033,1189,1009,0.8486122792262405,0.9767666989351403,-25.25,5.208333333333333,6.791666666666667,0.9427651139742319,-5.8489015526924355,-4.265568219359102,-0.3450674615292262,-0.2228592494026369,0.008931246076530792
higher_timeframe_bias,signal_to_noise,-0.00882006001016767,0.2997393570807993,1119,377,345,0.9151193633952255,0.30831099195710454,-4.197761194029851,2.7299741602067185,1.1953125,0.8768115942028986,-0.31850090579710144,-1.85316256600382,-0.023030402764485425,-0.10851201747015571,0.00882006001016767
higher_timeframe_bias,draw_on_liquidity,-0.007038282430820936,0.8980263157894737,1119,1189,1092,0.9184188393608074,0.9758713136729222,37.25,-2.8055555555555554,-3.2731958762886597,2.281364468864469,5.554560345153129,5.086920024420024,0.301085305444309,0.2655932025019241,0.007038282430820936
relative_volume,penalty_snr_conflict,0.006821295570963624,0.08113804004214963,926,100,77,0.77,0.08315334773218143,1.2063197026022305,2.9010600706713783,6.684782608695652,-9.983766233766234,-16.668548842461888,-12.884826304437613,-0.9538682062809278,-0.6484825428397893,0.006821295570963624
fvg_or_retest,draw_on_liquidity,-0.0029409220765669606,0.9054276315789473,1128,1189,1101,0.9259882253994953,0.976063829787234,-25.25,1.8240740740740742,-2.065340909090909,2.139418710263397,4.204759619354306,0.31534463618932285,0.23243476122416074,0.027627929133734463,0.0029409220765669606
room_to_target,key_location,,0.9876847290640394,1203,1218,1203,0.9876847290640394,1.0,,,18.183333333333334,1.5791770573566084,-16.604156275976724,,-1.1118739388064416,,
draw_on_liquidity,key_location,,0.9761904761904762,1189,1218,1189,0.9761904761904762,1.0,,,-0.04310344827586207,1.8282169890664424,1.8713204373423045,,0.1049293057187588,,
fvg_or_retest,key_location,,0.9261083743842364,1128,1218,1128,0.9261083743842364,1.0,,,-2.5805555555555557,2.1318705673758864,4.712426122931442,,0.25846406164380287,,
higher_timeframe_bias,key_location,,0.9187192118226601,1119,1218,1119,0.9187192118226601,1.0,,,-2.4545454545454546,2.1586237712243075,4.613169225769762,,0.2515208120615524,,
liquidity_sweep,key_location,,0.8481116584564861,1033,1218,1033,0.8481116584564861,1.0,,,5.925675675675675,1.0418683446272992,-4.883807331048376,,-0.28447144088447374,,
relative_volume,key_location,,0.7602627257799671,926,1218,926,0.7602627257799671,1.0,,,1.6378424657534247,1.8296436285097193,0.19180116275629455,,0.006555153215484832,,
displacement,key_location,,0.7315270935960592,891,1218,891,0.7315270935960592,1.0,,,-0.8998470948012233,2.7685185185185186,3.6683656133197418,,0.20602190442093316,,
structure_shift,key_location,,0.6880131362889984,838,1218,838,0.6880131362889984,1.0,,,-1.3296052631578947,3.1954057279236276,4.525010991081523,,0.2537020907547427,,
premium_discount,key_location,,0.6330049261083743,771,1218,771,0.6330049261083743,1.0,,,4.107941834451902,0.4361219195849546,-3.671819914866947,,-0.2143455106553287,,
signal_to_noise,key_location,,0.30952380952380953,377,1218,377,0.30952380952380953,1.0,,,2.178061831153389,0.9038461538461539,-1.274215677307235,,-0.07377368192630351,,
key_location,penalty_snr_conflict,,0.08210180623973727,1218,100,100,1.0,0.08210180623973727,,2.4932915921288012,,-6.15,,-8.6432915921288,,-0.4623426454291685,
key_location,penalty_major_obstacle,,0.012315270935960592,1218,15,15,1.0,0.012315270935960592,,1.5791770573566084,,18.183333333333334,,16.604156275976724,,1.1118739388064416,
higher_timeframe_bias,penalty_data_quality,,0.0,1119,0,0,,0.0,-2.4545454545454546,2.1586237712243075,,,,,,,
higher_timeframe_bias,penalty_failed_retest,,0.0,1119,0,0,,0.0,-2.4545454545454546,2.1586237712243075,,,,,,,
higher_timeframe_bias,penalty_htf_conflict,,0.0,1119,0,0,,0.0,-2.4545454545454546,2.1586237712243075,,,,,,,
