segment,value,setup_family,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes
displacement,True,reversal,735,0.2829931972789116,2.853401360544218,0.11417670883027177,1.1613114123641957,2097.25,0.48299319727891155,0.3401360544217687,0.21768707482993196,0.1523809523809524,0.6993197278911565,40.52619047619048,24.25,27.289115646258505,27.25,76.80893233484426,75.07739733677509,18.684353741496597
displacement,True,continuation,155,0.3096774193548387,5.646774193548387,0.22281691481136015,1.3277169334456613,875.25,0.5290322580645161,0.32903225806451614,0.25161290322580643,0.2,0.6774193548387096,43.262903225806454,28.5,26.482258064516127,27.25,73.39186412316336,71.81949173451764,17.135483870967743
structure_shift,False,reversal,375,0.2613333333333333,-1.344,-0.0543611101415454,0.9252862913686395,-504.0,0.4666666666666667,0.30133333333333334,0.18933333333333333,0.112,0.7093333333333334,37.766,23.25,28.255333333333333,27.5,73.2715880187597,72.40251147443603,19.85333333333333
structure_shift,False,continuation,5,0.2,-0.25,-0.010000000000000009,0.9876237623762376,-1.25,0.8,0.4,0.2,0.2,0.8,59.35,49.75,26.05,30.75,70.35290178916165,70.02322406591799,23.4
structure_shift,True,reversal,658,0.27811550151975684,2.401595744680851,0.0969832665184725,1.1340927894100425,1580.25,0.4574468085106383,0.3373860182370821,0.22492401215805471,0.14893617021276595,0.709726443768997,39.2515197568389,21.5,26.643996960486323,27.25,77.89680591460595,77.55288779578382,18.0790273556231
structure_shift,True,continuation,180,0.3111111111111111,6.097222222222222,0.24109062509672394,1.3541179317576832,1097.5,0.5222222222222223,0.34444444444444444,0.25555555555555554,0.20555555555555555,0.6777777777777778,43.26111111111111,28.375,26.17222222222222,26.875,73.31970264803454,71.85748102465186,16.65
fvg_context,False,reversal,870,0.2597701149425287,-0.1925287356321839,-0.006753452157758676,0.989408454266654,-167.5,0.45632183908045976,0.31494252873563217,0.2045977011494253,0.12873563218390804,0.7183908045977011,38.160057471264366,22.0,27.45057471264368,27.5,75.89238952391058,74.0,18.541379310344826
fvg_context,False,continuation,173,0.3063583815028902,5.528901734104046,0.21824458102549316,1.3190194279996665,956.5,0.5317919075144508,0.3352601156069364,0.24855491329479767,0.2023121387283237,0.6820809248554913,43.157514450867055,28.75,26.063583815028903,26.75,73.30634732280821,71.83420074349442,17.14450867052023
fvg_context,True,reversal,163,0.3374233128834356,7.630368098159509,0.30248513155414375,1.4579344624447717,1243.75,0.48466257668711654,0.37423312883435583,0.25153374233128833,0.17177914110429449,0.6625766871165644,41.65950920245399,22.0,26.04601226993865,27.0,77.95438596959146,76.70036171996647,19.69325153374233
fvg_context,True,continuation,12,0.3333333333333333,11.645833333333334,0.4658333333333335,1.691831683168317,139.75,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,51.458333333333336,45.5,27.6875,32.75,72.27607489551711,71.55595841815503,12.333333333333334
htf_bias,bearish,reversal,404,0.24257425742574257,-1.3836633663366336,-0.054328009565845166,0.9263091981676169,-559.0,0.452970297029703,0.2995049504950495,0.19801980198019803,0.13613861386138615,0.7425742574257426,37.10705445544554,20.375,27.149133663366335,27.75,76.16726795103267,74.2,16.76732673267327
htf_bias,bearish,continuation,107,0.3177570093457944,8.728971962616823,0.34728547153780803,1.5105220005465974,934.0,0.5420560747663551,0.38317757009345793,0.2803738317757009,0.2336448598130841,0.6728971962616822,46.228971962616825,35.75,24.6588785046729,26.5,73.09800914631822,71.69628517269393,15.644859813084112
htf_bias,bullish,reversal,536,0.30223880597014924,3.4743470149253732,0.13989626577329545,1.2026442503876602,1862.25,0.46455223880597013,0.34888059701492535,0.22201492537313433,0.13619402985074627,0.6772388059701493,39.61473880597015,23.0,27.17350746268657,27.0,76.49718899886922,75.00653040986903,20.32649253731343
htf_bias,bullish,continuation,72,0.3055555555555556,2.4756944444444446,0.09481620920645627,1.14203187250996,178.25,0.5138888888888888,0.3055555555555556,0.2222222222222222,0.16666666666666666,0.6944444444444444,40.50347222222222,25.625,28.21875,27.75,73.64193387847938,72.40289981093736,18.666666666666668
htf_bias,neutral,reversal,93,0.22580645161290322,-2.4408602150537635,-0.10329365079365072,0.8706552706552707,-227.0,0.4731182795698925,0.2903225806451613,0.21505376344086022,0.12903225806451613,0.7526881720430108,40.483870967741936,29.0,27.89516129032258,27.0,74.82660476596249,74.0,17.978494623655912
htf_bias,neutral,continuation,6,0.16666666666666666,-2.6666666666666665,-0.10666666666666663,0.8617710583153347,-16.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,36.833333333333336,20.375,28.5,28.75,70.93412794757673,70.78147668393783,16.0
dol_direction,bearish,reversal,449,0.23608017817371937,-1.8429844097995545,-0.07390760826294089,0.9021607401495669,-827.5,0.44766146993318484,0.29398663697104677,0.19376391982182628,0.133630289532294,0.7461024498886414,37.12973273942094,20.25,27.398663697104677,27.5,75.9641263779756,74.0,16.55011135857461
dol_direction,bearish,continuation,110,0.3181818181818182,8.938636363636364,0.35572314049586784,1.523005319148936,983.25,0.5454545454545454,0.38181818181818183,0.2818181818181818,0.23636363636363636,0.6727272727272727,46.4,35.5,24.615909090909092,26.5,73.01713308613421,71.64875103398214,15.427272727272728
dol_direction,bullish,reversal,560,0.30178571428571427,3.1763392857142856,0.1271447591449161,1.1849204699033165,1778.75,0.4767857142857143,0.35,0.22321428571428573,0.13392857142857142,0.6785714285714286,39.963839285714286,23.875,27.21964285714286,27.5,76.54432589878337,75.26837875138375,20.723214285714285
dol_direction,bullish,continuation,71,0.30985915492957744,3.0140845070422535,0.11629249384316687,1.1755177363133074,214.0,0.49295774647887325,0.28169014084507044,0.22535211267605634,0.16901408450704225,0.676056338028169,39.485915492957744,24.75,28.225352112676056,27.75,73.70390402775884,72.662203351542,19.309859154929576
dol_direction,neutral,reversal,24,0.25,5.208333333333333,0.22554266895761743,1.2754820936639117,125.0,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.75,39.114583333333336,13.25,24.270833333333332,25.875,73.34285632566132,72.79279068865137,12.708333333333334
dol_direction,neutral,continuation,4,0.0,-25.25,-1.01,0.0,-101.0,0.75,0.5,0.0,0.0,1.0,44.0625,52.25,32.375,32.5,71.11229003659625,71.06716297022567,11.5
htf_alignment,aligned,reversal,940,0.2765957446808511,1.3864361702127659,0.056421151691366925,1.0776876993234181,1303.25,0.4595744680851064,0.3276595744680851,0.21170212765957447,0.13617021276595745,0.7053191489361702,38.53696808510638,21.875,27.16303191489362,27.5,76.35539314426711,74.70426754470618,18.796808510638296
htf_alignment,aligned,continuation,179,0.3128491620111732,6.2136871508379885,0.24573358948273918,1.360593289025774,1112.25,0.5307262569832403,0.35195530726256985,0.2569832402234637,0.20670391061452514,0.6815642458100558,43.925977653631286,28.75,26.09078212290503,26.75,73.31679451344449,71.84448925715385,16.860335195530727
htf_alignment,neutral/unknown,reversal,93,0.22580645161290322,-2.4408602150537635,-0.10329365079365072,0.8706552706552707,-227.0,0.4731182795698925,0.2903225806451613,0.21505376344086022,0.12903225806451613,0.7526881720430108,40.483870967741936,29.0,27.89516129032258,27.0,74.82660476596249,74.0,17.978494623655912
htf_alignment,neutral/unknown,continuation,6,0.16666666666666666,-2.6666666666666665,-0.10666666666666663,0.8617710583153347,-16.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,36.833333333333336,20.375,28.5,28.75,70.93412794757673,70.78147668393783,16.0
time_bucket,10:30+,reversal,1033,0.27202323330106487,1.0418683446272992,0.04204218109010203,1.0580799222902781,1076.25,0.46079380445304935,0.324298160696999,0.21200387221684414,0.1355275895450145,0.7095837366892546,38.712245885769605,22.0,27.22894482090997,27.5,76.21775779171888,74.58351682193376,18.723136495643757
time_bucket,10:30+,continuation,185,0.3081081081081081,5.925675675675675,0.23430439198600175,1.3425513631747519,1096.25,0.5297297297297298,0.34594594594594597,0.25405405405405407,0.20540540540540542,0.6810810810810811,43.695945945945944,28.75,26.16891891891892,27.0,73.23951884103798,71.81949173451764,16.832432432432434
